,item_name,First_Part,Type
50,Babymask - Pack of 1 Spacer Device,BABYMASK,PACKOF1SPACERDEVICE
51,Bacfen 10mg - Strip of 10 Tablets,BACFEN10MG,STRIPOF10TABLETS
52,Bacfen 25 Mg - Strip of 10 Tablets,BACFEN25MG,STRIPOF10TABLETS
53,Bacfen 5 - Strip of 10 Tablets,BACFEN5,STRIPOF10TABLETS
54,Bacfen XL - Strip of 10 Capsules,BACFENXL,STRIPOF10CAPSULES
55,Bacfen XL 10 - Strip of 10 Tablets,BACFENXL10,STRIPOF10TABLETS
56,Bacfen XL 30 - Strip of 10 Capsules,BACFENXL30,STRIPOF10CAPSULES
57,Bacgab - Tube of 30g Gel,BACGAB,TUBEOF30GGEL
58,Bacillocid Extra - Pack of 500ml Surface and Equipment Disinfectant,BACILLOCIDEXTRA,PACKOF500MLSURFACEANDEQUIPMENTDISINFECTANT
59,Bacilon Probiotic Liquid 6 x 5 ml - Bottle of 6 x 5 ml Liquid,BACILONPROBIOTICLIQUID6X5ML,BOTTLEOF6X5MLLIQUID
60,Backup-300 SR - Strip of 10 Tablets,BACKUP300SR,STRIPOF10TABLETS
61,Baclodol - Strip of 10 Tablets,BACLODOL,STRIPOF10TABLETS
62,Baclof Liquid Strawberry Flavour - Bottle of 100 ml Solution,BACLOFLIQUIDSTRAWBERRYFLAVOUR,BOTTLEOF100MLSOLUTION
63,Baclof OD 20 - Strip of 10 Tablets,BACLOFOD20,STRIPOF10TABLETS
64,Baclof OD 30 - Strip of 10 Tablets,BACLOFOD30,STRIPOF10TABLETS
65,Baclof-10 - Strip of 10 Tablets,BACLOF10,STRIPOF10TABLETS
66,Baclof-25 - Strip of 10 Tablets,BACLOF25,STRIPOF10TABLETS
67,Baclof-25 - Strip of 10 Tablets,BACLOF25,STRIPOF10TABLETS
68,Baclofast 10mg - Strip of 10 Tablets,BACLOFAST10MG,STRIPOF10TABLETS
69,BACLOFEN 10MG - Strip of 10 Tablets,BACLOFEN10MG,STRIPOF10TABLETS
70,Bacloren 10 Mg - Strip of 10 Tablets,BACLOREN10MG,STRIPOF10TABLETS
71,Bacloren 20 - Strip of 10 Tablets,BACLOREN20,STRIPOF10TABLETS
72,BACLOTABLETS 10mg - Strip of 15 Tablets,BACLOTABLETS10MG,STRIPOF15TABLETS
73,BACSTAN CV - Strip of 6 Tablets,BACSTANCV,STRIPOF6TABLETS
74,Bacstol 100 - Strip of 10 Tablets,BACSTOL100,STRIPOF10TABLETS
75,Bacstol 200 - Strip of 10 Tablets,BACSTOL200,STRIPOF10TABLETS
76,Bactafuz 2% - Tube of 5 g Cream,BACTAFUZ2%,TUBEOF5GCREAM
77,BACTBLEND DELAYED RELEASE - Strip of 1 Capsules,BACTBLENDDELAYEDRELEASE,STRIPOF1CAPSULES
78,Bactigras - 10 Pouches of 10Cmx10Cm Dressing,BACTIGRAS,10POUCHESOF10CMX10CMDRESSING
79,Bactilem - Vial of 750mg Injection,BACTILEM,VIALOF750MGINJECTION
80,Bactilem-1.5mg - Bottle of 1.5gm Injection,BACTILEM1.5MG,BOTTLEOF1.5GMINJECTION
81,Bactipro - Strip of 10 Capsules,BACTIPRO,STRIPOF10CAPSULES
82,Bactiv - Bottle of 10 Capsules,BACTIV,BOTTLEOF10CAPSULES
83,B-Active - Bottle of 100ml Liquid,BACTIVE,BOTTLEOF100MLLIQUID
84,B-Active Cp - Bottle of 30 Tablets,BACTIVECP,BOTTLEOF30TABLETS
85,B-active- Strip of 15 Tablets,BACTIVE,STRIPOF15TABLETS
86,BACTOCILLIN-1000MG - Strip of 10 Tablets,BACTOCILLIN1000MG,STRIPOF10TABLETS
87,Bactoclav - Bottle of 10 ml Drops,BACTOCLAV,BOTTLEOF10MLDROPS
88,Bactoclav - Bottle of 30 ml Suspension,BACTOCLAV,BOTTLEOF30MLSUSPENSION
89,Bactoclav - Vial of 1.2gm Injection,BACTOCLAV,VIALOF1.2GMINJECTION
90,Bactoclav 1000 - Strip of 4 Tablets,BACTOCLAV1000,STRIPOF4TABLETS
91,BACTOCLAV 1GM - Strip of 4 Tablets,BACTOCLAV1GM,STRIPOF4TABLETS
92,Bactoclav 375 - Strip of 10 Tablets,BACTOCLAV375,STRIPOF10TABLETS
93,BACTOCLAV DDS - Bottle of 30ml Syrup,BACTOCLAVDDS,BOTTLEOF30MLSYRUP
94,Bactoclav DS-457 - Bottle of 30 ml Suspension,BACTOCLAVDS457,BOTTLEOF30MLSUSPENSION
95,Bactoclav DT - Strip of 10 Tablets,BACTOCLAVDT,STRIPOF10TABLETS
96,Bactoclav-625 - Strip of 10 Tablets,BACTOCLAV625,STRIPOF10TABLETS
97,Bactogard 100 - Bottle of 15g/30ml Syrup Powder,BACTOGARD100,BOTTLEOF15G/30MLSYRUPPOWDER
98,Bactogard 100 DT - Strip of 10 Tablets,BACTOGARD100DT,STRIPOF10TABLETS
99,Bactogard 200 - Strip of 10 Tablets,BACTOGARD200,STRIPOF10TABLETS
100,Bactogard 50 - Bottle of 15g/30ml Syrup Powder,BACTOGARD50,BOTTLEOF15G/30MLSYRUPPOWDER
101,Bactogard CV 200Mg/125Mg - Strip of 10 Tablets,BACTOGARDCV200MG/125MG,STRIPOF10TABLETS
102,Bactogard CV 50 - Bottle of 11g/30ml Dry Syrup Powder,BACTOGARDCV50,BOTTLEOF11G/30MLDRYSYRUPPOWDER
103,Bactogard Drops - Bottle of 6g/10 ml Powder,BACTOGARDDROPS,BOTTLEOF6G/10MLPOWDER
104,Bactogard DS - Bottle of 30ml Suspension,BACTOGARDDS,BOTTLEOF30MLSUSPENSION
105,Bactomin 375 - Strip of 10 Tablets,BACTOMIN375,STRIPOF10TABLETS
106,Bactomin 750 - Strip of 6 Tablets,BACTOMIN750,STRIPOF6TABLETS
107,Bactrim - Bottle of 50 ml Syrup,BACTRIM,BOTTLEOF50MLSYRUP
108,Bactrim DS 800Mg/160Mg - Strip of 10 Tablets,BACTRIMDS800MG/160MG,STRIPOF10TABLETS
109,BACTROBAN - Tube of 5 gm Ointment,BACTROBAN,TUBEOF5GMOINTMENT
110,Baga 100MG - Strip of 15 Capsules,BAGA100MG,STRIPOF15CAPSULES
111,Baga 300 - Strip of 15 Capsules,BAGA300,STRIPOF15CAPSULES
112,Baga-M - Strip of 15 Capsules,BAGAM,STRIPOF15CAPSULES
113,BAGA-NT 100/10MG - Strip of 15 Tablets,BAGANT100/10MG,STRIPOF15TABLETS
114,Baga-NT 400/10MG - Strip of 15 Tablets,BAGANT400/10MG,STRIPOF15TABLETS
115,Baidyanath Abhayarishta - Bottle of 450 Ml Liquid,BAIDYANATHABHAYARISHTA,BOTTLEOF450MLLIQUID
116,Bakbone - Strip of 15 Tablets,BAKBONE,STRIPOF15TABLETS
117,BAKFLEX 8mg - Strip of 10 Tablets,BAKFLEX8MG,STRIPOF10TABLETS
118,Bakflex A - Strip of 10 Tablets,BAKFLEXA,STRIPOF10TABLETS
119,Bakflex Plus - Strip of 10 Tablets,BAKFLEXPLUS,STRIPOF10TABLETS
120,Bakflex-A - Strip of 10 Tablets,BAKFLEXA,STRIPOF10TABLETS
121,Bakflex-A8 - Strip of 10 Tablets,BAKFLEXA8,STRIPOF10TABLETS
122,Bakwel 4mg - Strip of 10 Capsules,BAKWEL4MG,STRIPOF10CAPSULES
123,Bakwel-AP - Strip of 10 Tablets,BAKWELAP,STRIPOF10TABLETS
124,Bal Pharma - Bottle of 100ml Acetone Liquid,BALPHARMA,BOTTLEOF100MLACETONELIQUID
125,BALAMIN PG - Strip of 10 Tablets,BALAMINPG,STRIPOF10TABLETS
126,Balamin Plus - Strip of 10 Tablets,BALAMINPLUS,STRIPOF10TABLETS
127,Balila 25mg - Strip of 10 Capsules,BALILA25MG,STRIPOF10CAPSULES
128,Balvibe - Blister Pack of 10 Capsules,BALVIBE,BLISTERPACKOF10CAPSULES
129,Bambudil 10 - Strip of 10 Tablets,BAMBUDIL10,STRIPOF10TABLETS
130,Bambudil-10 - Strip of 10 Tablets,BAMBUDIL10,STRIPOF10TABLETS
131,Ban A Tan - Tube of 25 gm Cream,BANATAN,TUBEOF25GMCREAM
132,Ban A Tan - Tube of 50 gm Cream,BANATAN,TUBEOF50GMCREAM
133,Bandrone 150 mg - Strip of 1 Tablet,BANDRONE150MG,STRIPOF1TABLET
134,Bandrone 50 mg - Strip of 10 Tablets,BANDRONE50MG,STRIPOF10TABLETS
135,Bandy - Bottle of 10 ml Suspension,BANDY,BOTTLEOF10MLSUSPENSION
136,Bandy - Strip of 1 Tablet,BANDY,STRIPOF1TABLET
137,Bandy - Strip of 10 Tablets,BANDY,STRIPOF10TABLETS
138,Bandy- Plus - Bottle of 10 ml Suspension,BANDYPLUS,BOTTLEOF10MLSUSPENSION
139,Bandy- Plus - Strip of 1 Tablet,BANDYPLUS,STRIPOF1TABLET
140,Bandy-Plus - Strip of 10 Tablets,BANDYPLUS,STRIPOF10TABLETS
141,Bandy-Plus 12mg - Strip of 1 Tablets,BANDYPLUS12MG,STRIPOF1TABLETS
142,Bandy-Plus 12mg - Strip of 10 Tablet,BANDYPLUS12MG,STRIPOF10TABLET
143,Bang - Bottle of 25 gm Spray,BANG,BOTTLEOF25GMSPRAY
144,Bang - Bottle of 55 gm Spray,BANG,BOTTLEOF55GMSPRAY
145,Banmg - Tube of 30gm Nano Gel,BANMG,TUBEOF30GMNANOGEL
146,BANOCIDE - Bottle of 100 ml Syrup,BANOCIDE,BOTTLEOF100MLSYRUP
147,Banocide - Strip of 20 Tablets,BANOCIDE,STRIPOF20TABLETS
148,BANOCIDE 100 MG - Strip of 10 Tablets,BANOCIDE100MG,STRIPOF10TABLETS
149,BANOCIDE 50MG - Bottle of 60 ml Syrup,BANOCIDE50MG,BOTTLEOF60MLSYRUP
150,Banocide Forte - Strip of 30 Tablets,BANOCIDEFORTE,STRIPOF30TABLETS
151,BANOFLAM D - Strip of 10 Tablets,BANOFLAMD,STRIPOF10TABLETS
152,BANOFLAM TABLETS 10'S,BANOFLAMTABLETS10'S,
153,Banoflam-Forte - Strip of 10 Tablets,BANOFLAMFORTE,STRIPOF10TABLETS
154,Baralgan NU - Strip of 10 Tablets,BARALGANNU,STRIPOF10TABLETS
155,Barijak - Bottle of 14 Tablets,BARIJAK,BOTTLEOF14TABLETS
156,BARIKIND 4 - Strip of 14 Tablets,BARIKIND4,STRIPOF14TABLETS
157,Barilup 2 - Bottle of 14 Tablets,BARILUP2,BOTTLEOF14TABLETS
158,Barilup 2 - Strip of 14 Tablets,BARILUP2,STRIPOF14TABLETS
159,Barilup 4 - Bottle of 14 Tablets,BARILUP4,BOTTLEOF14TABLETS
160,Barinat 1 - Bottle of 14 Tablets,BARINAT1,BOTTLEOF14TABLETS
161,Barinat 2 - Strip of 14 Tablets,BARINAT2,STRIPOF14TABLETS
162,BARINAT 4 - Strip of 14 Tablets,BARINAT4,STRIPOF14TABLETS
163,Barivit - Strip of 10 Tablets,BARIVIT,STRIPOF10TABLETS
164,Barivit - Strip of 10 Tablets,BARIVIT,STRIPOF10TABLETS
165,Barkeit - Strip of 10 Tablets,BARKEIT,STRIPOF10TABLETS
166,BAROHEXY 2 MG - Strip of 10 Tablets,BAROHEXY2MG,STRIPOF10TABLETS
167,Basaglar 100 Units/ml Cartridge - Vial of 3ml Injection,BASAGLAR100UNITS/MLCARTRIDGE,VIALOF3MLINJECTION
168,Basaglar 100 Units/ml Cartridge - Vial of 3ml Injection,BASAGLAR100UNITS/MLCARTRIDGE,VIALOF3MLINJECTION
169,Basaglar 100IU/ml Kwikpen - Penfill of 3ml Injection,BASAGLAR100IU/MLKWIKPEN,PENFILLOF3MLINJECTION
170,Basaglar 100IU/ml Kwikpen - Penfill of 3ml Injection,BASAGLAR100IU/MLKWIKPEN,PENFILLOF3MLINJECTION
171,Basalog 100IU - Vial of 5ml Injection,BASALOG100IU,VIALOF5MLINJECTION
172,Basalog 100IU/ml - Refill Cartridge of 3ml Injection,BASALOG100IU/ML,REFILLCARTRIDGEOF3MLINJECTION
173,Basalog 100IU/ml - Refill Cartridge of 3ml Injection,BASALOG100IU/ML,REFILLCARTRIDGEOF3MLINJECTION
174,Basalog 100IU/ml - Vial of 3 ml Injection,BASALOG100IU/ML,VIALOF3MLINJECTION
175,Basalog 100Iu/ml - Vial of 5ml Injection,BASALOG100IU/ML,VIALOF5MLINJECTION
176,Basalog One - Vial of 100Iu Injection,BASALOGONE,VIALOF100IUINJECTION
177,Basalog One 100IU/ml - Penfill of 3ml Injection,BASALOGONE100IU/ML,PENFILLOF3MLINJECTION
178,Basalog One 100IU/ml - Penfill of 3ml Injection,BASALOGONE100IU/ML,PENFILLOF3MLINJECTION
179,Basalog Refil 3 ml - Pack of 3 Cartridge,BASALOGREFIL3ML,PACKOF3CARTRIDGE
180,Basics - Strip of 10 Tablets,BASICS,STRIPOF10TABLETS
181,Basics Junior - Bottle of 200ml Syrup,BASICSJUNIOR,BOTTLEOF200MLSYRUP
182,BASICVIT - Strip of 10 Capsules,BASICVIT,STRIPOF10CAPSULES
183,Basiton Forte - Strip of 15 Tablets,BASITONFORTE,STRIPOF15TABLETS
184,Basiton Forte - Strip of 15 Tablets,BASITONFORTE,STRIPOF15TABLETS
185,Basiton Forte New - Strip of 15 Tablets,BASITONFORTENEW,STRIPOF15TABLETS
186,Bask-D3 - Strip of 4 Capsules,BASKD3,STRIPOF4CAPSULES
187,BASUGINE - Pack of 1 PEN,BASUGINE,PACKOF1PEN
188,BASUGINE - Pack of 100 IU Injection,BASUGINE,PACKOF100IUINJECTION
189,BATE FZ - Strip of 10 Tablets,BATEFZ,STRIPOF10TABLETS
190,BAX-CV DS - Bottle of 30 ml Syrup,BAXCVDS,BOTTLEOF30MLSYRUP
191,Baxyzol-DSR - Strip of 10 Capsules,BAXYZOLDSR,STRIPOF10CAPSULES
192,Bayace 100MG - Strip of 10 Capsules,BAYACE100MG,STRIPOF10CAPSULES
193,Baycip 250MG - Strip of 10 Tablets,BAYCIP250MG,STRIPOF10TABLETS
194,Baycip 500 - Strip of 10 Tablets,BAYCIP500,STRIPOF10TABLETS
195,Baycip TZ - Strip of 10 Tablets,BAYCIPTZ,STRIPOF10TABLETS
196,Bayers - Bottle of 250 ml Tonic,BAYERS,BOTTLEOF250MLTONIC
197,Bayers - Bottle of 250 ml Tonic,BAYERS,BOTTLEOF250MLTONIC
198,Bayurab-Dsr - Strip of 10 Capsules,BAYURABDSR,STRIPOF10CAPSULES
199,B-Bact - Tube of 10 gms Ointment,BBACT,TUBEOF10GMSOINTMENT
200,BC2A - Strip of 15 Tablets,BC2A,STRIPOF15TABLETS
201,Bchol-25 - Strip of 10 Tablets,BCHOL25,STRIPOF10TABLETS
202,B-Cin 100 mg - Strip of 10 Tablets,BCIN100MG,STRIPOF10TABLETS
203,B-Colex - Strip of 10 Capsules,BCOLEX,STRIPOF10CAPSULES
204,B-Colex - Strip of 10 Capsules,BCOLEX,STRIPOF10CAPSULES
205,B-Complex - Bottle of 30ml Syrup,BCOMPLEX,BOTTLEOF30MLSYRUP
206,B-Complex - Strip of 10 Capsules,BCOMPLEX,STRIPOF10CAPSULES
207,B-CRIP 2.5 MG - Strip of 10 Tablets,BCRIP2.5MG,STRIPOF10TABLETS
208,Bc-Top - Bottle of 50ml Lotion,BCTOP,BOTTLEOF50MLLOTION
209,BD - Bottle of 1ml x 100 Units Syringe with Needles,BD,BOTTLEOF1MLX100UNITSSYRINGEWITHNEEDLES
210,BD - Pack of 100 Alchohol Swabs,BD,PACKOF100ALCHOHOLSWABS
211,BD - Pack of 20ml Syringe,BD,PACKOF20MLSYRINGE
212,Bd 26g Ref-303060 - Pack of 1ml Slip Tip Syringe With Needle,BD26GREF303060,PACKOF1MLSLIPTIPSYRINGEWITHNEEDLE
213,Bd Discardit Syringes 5ml,BDDISCARDITSYRINGES5ML,
214,BD Discarditii Syringes 2ml,BDDISCARDITIISYRINGES2ML,
215,BD Insulin Syringes with BD Ultra-Fine Needle 40U 31G 6MM,BDINSULINSYRINGESWITHBDULTRA,FINENEEDLE40U31G6MM
216,BD Needles 1.5 - Pack of 21g Needles,BDNEEDLES1.5,PACKOF21GNEEDLES
217,BD Neoflon Paed 24G,BDNEOFLONPAED24G,
218,BD No 21 - Pack of 1 Needle,BDNO21,PACKOF1NEEDLE
219,BD No 22 1.5 - Pack of 1 Needle,BDNO221.5,PACKOF1NEEDLE
220,Bd Precision Glide 21GX1.5-Inch - Vial of 1 Needle,BDPRECISIONGLIDE21GX1.5INCH,VIALOF1NEEDLE
221,Bd Spinal Needle Quincke Type Point 405120 - 23Gx3.50In 0.64Mmx90Mm Needle,BDSPINALNEEDLEQUINCKETYPEPOINT405120,23GX3.50IN0.64MMX90MMNEEDLE
222,Bd Spinal Needle Quincke Type Point 405122 - 25Gx3.50In 0.50Mmx90Mm Needle,BDSPINALNEEDLEQUINCKETYPEPOINT405122,25GX3.50IN0.50MMX90MMNEEDLE
223,Bd Spinal Needle Quincke Type Point 405124 - 26Gx3.50In 0.45Mmx90Mm Needle,BDSPINALNEEDLEQUINCKETYPEPOINT405124,26GX3.50IN0.45MMX90MMNEEDLE
224,BD Syringe -  2 ml,BDSYRINGE,2ML
225,BD Ultra-Fine 4MM (32G) - Vial of 5 Pen Needles,BDULTRAFINE4MM(32G),VIALOF5PENNEEDLES
226,BD Ultra-Fine III Mini Pen Needles 4MM 32G,BDULTRA,FINEIIIMINIPENNEEDLES4MM32G
227,BD Ultra-Fine Mini Pen Needles 5mm x 31G,BDULTRA,FINEMINIPENNEEDLES5MMX31G
228,Bd Venflon 391491 - Pack of 22G Needle,BDVENFLON391491,PACKOF22GNEEDLE
229,Bd Venflon 391492 - Pack of 20G Needle,BDVENFLON391492,PACKOF20GNEEDLE
230,Bd Venflon 391493 - Pack of 18G 1.77In 1.2X45Mm 80Ml/Min Needle,BDVENFLON391493,PACKOF18G1.77IN1.2X45MM80ML/MINNEEDLE
231,BD-12 - Strip of 10 Tablets,BD12,STRIPOF10TABLETS
232,BD-12 - Strip of 10 Tablets,BD12,STRIPOF10TABLETS
233,BDENZA 40mg - Strip of 28 Capsules,BDENZA40MG,STRIPOF28CAPSULES
234,Bdiff A - Tube of 15 gm Gel,BDIFFA,TUBEOF15GMGEL
235,BD-Plus - Strip of 10 Tablets,BDPLUS,STRIPOF10TABLETS
236,BD-Plus - Strip of 10 Tablets,BDPLUS,STRIPOF10TABLETS
237,BDX EXPECT - Bottle of 120 ML Syrup,BDXEXPECT,BOTTLEOF120MLSYRUP
238,Be Ferric-XT - Strip of 10 Tablets,BEFERRICXT,STRIPOF10TABLETS
239,Beat HF 5MG - Strip of 10 Tablets,BEATHF5MG,STRIPOF10TABLETS
240,Beboxia Xl 25 Mg - Strip of 10 Tablets,BEBOXIAXL25MG,STRIPOF10TABLETS
241,Becadexamin - Bottle of 30 Capsules,BECADEXAMIN,BOTTLEOF30CAPSULES
242,BECELAC FORTE - Strip of 10 Capsules,BECELACFORTE,STRIPOF10CAPSULES
243,Becelac fortz - Strip of 15 Capsules,BECELACFORTZ,STRIPOF15CAPSULES
244,Becelac PB - Strip of 10 Capsules,BECELACPB,STRIPOF10CAPSULES
245,Becetab - Strip of 10 Tablets,BECETAB,STRIPOF10TABLETS
246,Beclate - Bottle of 200 Metered Doses Inhaler,BECLATE,BOTTLEOF200METEREDDOSESINHALER
247,Beclate 200 Rotacaps - Bottle of 30 Capsules,BECLATE200ROTACAPS,BOTTLEOF30CAPSULES
248,Beclate 400 Rotacaps - Bottle of 30 Capsules,BECLATE400ROTACAPS,BOTTLEOF30CAPSULES
249,BECLO - Bottle of 30 ml Lotion,BECLO,BOTTLEOF30MLLOTION
250,Becobank - Strip of 10 Tablets,BECOBANK,STRIPOF10TABLETS
251,Becobank Forte Softgel - Strip of 10 Capsules,BECOBANKFORTESOFTGEL,STRIPOF10CAPSULES
252,Becocapsule - Strip of 10 Capsules,BECOCAPSULE,STRIPOF10CAPSULES
253,Becocnx 60K Orange - Strip of 4 Chewable Tablets,BECOCNX60KORANGE,STRIPOF4CHEWABLETABLETS
254,Becocnx D3 - Strip of 10 Tablets,BECOCNXD3,STRIPOF10TABLETS
255,Becocnx OD - Strip of 10 Tablets,BECOCNXOD,STRIPOF10TABLETS
256,BECOCNX PM 75MG - Strip of 10 Tablets,BECOCNXPM75MG,STRIPOF10TABLETS
257,BECOCNX-LITE - Strip of 10 Tablets,BECOCNXLITE,STRIPOF10TABLETS
258,Becoles - Strip of 15 Capsules,BECOLES,STRIPOF15CAPSULES
259,Becomax C Forte - Strip of 15 Tablets,BECOMAXCFORTE,STRIPOF15TABLETS
260,Becomax C Forte - Strip of 15 Tablets,BECOMAXCFORTE,STRIPOF15TABLETS
261,Becomust - Strip of 10 Capsules,BECOMUST,STRIPOF10CAPSULES
262,Becomust - Strip of 10 Capsules,BECOMUST,STRIPOF10CAPSULES
263,BECOPLEX - Strip of 15 Capsules,BECOPLEX,STRIPOF15CAPSULES
264,BECOSTAR - Strip of 15 Tablets,BECOSTAR,STRIPOF15TABLETS
265,Becostar G - Strip of 10 Capsules,BECOSTARG,STRIPOF10CAPSULES
266,Becosules - Bottle of 120 ml Syrup,BECOSULES,BOTTLEOF120MLSYRUP
267,Becosules - Strip of 20 Capsules,BECOSULES,STRIPOF20CAPSULES
268,BECOSULES JUNIOR PAED ORANGE FLAVOUR - Bottle of 200ml Liquid,BECOSULESJUNIORPAEDORANGEFLAVOUR,BOTTLEOF200MLLIQUID
269,Becosules Performance - Blister Pack of 15 Capsules,BECOSULESPERFORMANCE,BLISTERPACKOF15CAPSULES
270,BECOSULES PLUS+ - Strip of 30 Capsules,BECOSULESPLUS+,STRIPOF30CAPSULES
271,Becosules Women - Strip of 15 Capsules,BECOSULESWOMEN,STRIPOF15CAPSULES
272,Becosules Z - Strip of 20 Capsules,BECOSULESZ,STRIPOF20CAPSULES
273,Becotrol - Strip of 10 Capsules,BECOTROL,STRIPOF10CAPSULES
274,Becovic-M - Bottle of 200 ml Syrup,BECOVICM,BOTTLEOF200MLSYRUP
275,Becovic-M - Strip of 10 Tablets,BECOVICM,STRIPOF10TABLETS
276,BECOVIT FORTE - Strip of 10 Tablets,BECOVITFORTE,STRIPOF10TABLETS
277,BECOVIT-Z - Strip of 10 Tablets,BECOVITZ,STRIPOF10TABLETS
278,Becozinc - Strip of 15 Capsules,BECOZINC,STRIPOF15CAPSULES
279,Becozinc - Strip of 20 Capsules,BECOZINC,STRIPOF20CAPSULES
280,Becozinc - Strip of 20 Capsules,BECOZINC,STRIPOF20CAPSULES
281,Becozinc - Strip of 30 Capsules,BECOZINC,STRIPOF30CAPSULES
282,Becozinc-G - Blister Pack of 10 Capsules,BECOZINCG,BLISTERPACKOF10CAPSULES
283,BECOZINC-G - Strip of 10 Capsules,BECOZINCG,STRIPOF10CAPSULES
284,Becozinc-H - Bottle of 200 Ml Syrup,BECOZINCH,BOTTLEOF200MLSYRUP
